frame,time,left_density,right_density,total_density
265,10.6,13,9,22
266,10.64,13,9,22
267,10.68,13,10,23
268,10.72,13,10,23
269,10.76,13,11,24
270,10.8,13,10,23
271,10.84,14,10,24
272,10.88,13,9,22
273,10.92,13,8,21
274,10.96,13,7,20
275,11.0,13,7,20
276,11.04,12,7,19
277,11.08,12,8,20
278,11.12,12,8,20
279,11.16,13,8,21
280,11.2,13,8,21
281,11.24,13,8,21
282,11.28,13,8,21
283,11.32,13,8,21
284,11.36,13,8,21
285,11.4,13,8,21
286,11.44,13,8,21
287,11.48,13,8,21
288,11.52,12,7,19
289,11.56,12,7,19
290,11.6,12,7,19
291,11.64,13,7,20
292,11.68,13,7,20
293,11.72,13,8,21
294,11.76,14,8,22
295,11.8,12,9,21
296,11.84,12,7,19
297,11.88,12,8,20
298,11.92,12,6,18
299,11.96,11,6,17
300,12.0,11,6,17
301,12.04,11,6,17
302,12.08,12,6,18
303,12.12,12,6,18
304,12.16,12,6,18
305,12.2,12,6,18
306,12.24,12,6,18
307,12.28,12,6,18
308,12.32,12,6,18
309,12.36,10,7,17
310,12.4,11,9,20
311,12.44,12,9,21
312,12.48,11,9,20
313,12.52,12,9,21
314,12.56,12,9,21
315,12.6,12,10,22
316,12.64,12,10,22
317,12.68,10,10,20
318,12.72,11,10,21
319,12.76,11,10,21
320,12.8,11,10,21
321,12.84,11,8,19
322,12.88,10,8,18
323,12.92,10,10,20
324,12.96,10,10,20
325,13.0,10,9,19
326,13.04,10,9,19
327,13.08,10,8,18
328,13.12,10,8,18
329,13.16,9,8,17
330,13.2,9,8,17
331,13.24,9,8,17
332,13.28,9,8,17
333,13.32,9,8,17
334,13.36,9,8,17
335,13.4,9,8,17
336,13.44,9,9,18
337,13.48,9,9,18
338,13.52,9,8,17
339,13.56,8,9,17
340,13.6,8,8,16
341,13.64,8,8,16
342,13.68,10,9,19
343,13.72,10,7,17
344,13.76,10,8,18
345,13.8,10,9,19
346,13.84,10,8,18
347,13.88,11,9,20
348,13.92,11,9,20
349,13.96,9,9,18
350,14.0,8,9,17
351,14.04,8,9,17
352,14.08,8,9,17
353,14.12,9,9,18
354,14.16,10,9,19
355,14.2,10,9,19
356,14.24,11,10,21
357,14.28,10,10,20
358,14.32,10,9,19
359,14.36,10,8,18
360,14.4,9,9,18
361,14.44,8,9,17
362,14.48,9,8,17
363,14.52,10,8,18
364,14.56,10,9,19
365,14.6,11,9,20
366,14.64,11,9,20
367,14.68,11,9,20
368,14.72,11,9,20
369,14.76,11,9,20
370,14.8,9,9,18
371,14.84,10,8,18
372,14.88,11,7,18
373,14.92,10,7,17
374,14.96,10,7,17
375,15.0,9,7,16
376,15.04,9,8,17
377,15.08,9,8,17
378,15.12,9,8,17
379,15.16,9,9,18
380,15.2,9,9,18
381,15.24,9,8,17
382,15.28,9,8,17
383,15.32,9,8,17
384,15.36,9,8,17
385,15.4,9,8,17
386,15.44,10,8,18
387,15.48,9,8,17
388,15.52,9,8,17
389,15.56,9,8,17
390,15.6,9,9,18
391,15.64,9,9,18
392,15.68,9,10,19
393,15.72,10,10,20
394,15.76,10,10,20
395,15.8,10,10,20
396,15.84,10,10,20
397,15.88,10,11,21
398,15.92,10,11,21
399,15.96,9,11,20
400,16.0,9,10,19
401,16.04,10,10,20
402,16.08,10,10,20
403,16.12,9,10,19
404,16.16,10,9,19
405,16.2,10,10,20
406,16.24,10,10,20
407,16.28,10,10,20
408,16.32,10,10,20
409,16.36,10,10,20
410,16.4,10,10,20
411,16.44,10,10,20
412,16.48,11,10,21
413,16.52,11,10,21
414,16.56,9,10,19
415,16.6,10,10,20
416,16.64,10,10,20
417,16.68,10,10,20
418,16.72,11,11,22
419,16.76,12,10,22
420,16.8,12,10,22
421,16.84,12,10,22
422,16.88,12,10,22
423,16.92,13,10,23
424,16.96,14,10,24
425,17.0,14,10,24
426,17.04,13,10,23
427,17.08,15,9,24
428,17.12,14,9,23
429,17.16,14,9,23
430,17.2,14,9,23
431,17.24,14,9,23
432,17.28,15,10,25
433,17.32,15,11,26
434,17.36,15,11,26
435,17.4,15,11,26
436,17.44,15,11,26
437,17.48,16,11,27
438,17.52,13,11,24
439,17.56,15,11,26
440,17.6,15,11,26
441,17.64,13,11,24
442,17.68,13,11,24
443,17.72,13,11,24
444,17.76,13,12,25
445,17.8,13,11,24
446,17.84,13,12,25
447,17.88,13,11,24
448,17.92,13,11,24
449,17.96,13,11,24
450,18.0,13,10,23
451,18.04,13,9,22
452,18.08,13,10,23
453,18.12,12,8,20
454,18.16,12,9,21
455,18.2,12,9,21
456,18.24,11,10,21
